raw_ip_incoming	raw_ip_outgoing	port_incoming	port_outgoing	protocol	start_time	end_time	num_packets_incoming	size_packets_incoming	num_packets_outgoing	size_packets_outgoing
188.239.13.83	212.154.160.206	21	21	89	2009-05-07 14:24:26	2009-05-07 14:29:26	18572	22895	19984	38315
188.239.13.83	212.154.160.206	21	21	89	2009-05-07 14:29:26	2009-05-07 14:29:32	5238	25766	15291	34763
188.239.13.83	188.239.13.83	2	21	2	2009-05-07 14:15:18	2009-05-07 14:20:18	5909	64579	2772	56858
188.239.13.83	188.239.13.83	2	21	2	2009-05-07 14:20:18	2009-05-07 14:21:43	2462	53303	7512	34880
159.142.3.99	159.142.3.99	21	21	6	2009-05-07 13:45:13	2009-05-07 13:49:32	19790	41141	21005	2385
212.154.160.206	188.239.13.83	2	21	6	2009-05-07 14:31:24	2009-05-07 14:36:24	4528	4988	15013	58093
212.154.160.206	188.239.13.83	2	21	6	2009-05-07 14:36:24	2009-05-07 14:41:24	14044	64638	2238	49143
212.154.160.206	188.239.13.83	2	21	6	2009-05-07 14:41:24	2009-05-07 14:46:19	8217	52631	16493	43669
159.142.3.99	212.154.160.206	21	21	6	2009-05-07 13:48:56	2009-05-07 13:53:35	25	53921	3447	21676
188.239.13.83	188.239.13.83	2	2	89	2009-05-07 13:47:47	2009-05-07 13:52:47	24625	360	5551	53779
188.239.13.83	188.239.13.83	2	2	89	2009-05-07 13:52:47	2009-05-07 13:57:32	6588	54981	15533	46473
46.209.68.65	188.239.13.83	21	2	2	2009-05-07 13:52:47	2009-05-07 13:53:56	11265	46860	15202	46549
212.154.160.206	212.154.160.206	21	21	6	2009-05-07 14:40:03	2009-05-07 14:41:33	11487	34261	3615	41334
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:06:35	2009-05-07 14:11:35	21983	16641	1299	26173
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:11:35	2009-05-07 14:16:35	3123	22738	22982	31256
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:16:35	2009-05-07 14:21:35	9119	46006	2014	30065
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:21:35	2009-05-07 14:26:35	7411	3388	1588	13218
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:26:35	2009-05-07 14:31:35	58	56503	27745	53921
188.239.13.83	159.142.3.99	21	21	1	2009-05-07 14:31:35	2009-05-07 14:35:12	5441	8553	11282	56617
212.154.160.206	212.154.160.206	21	21	1	2009-05-07 13:47:57	2009-05-07 13:48:00	6860	44985	6374	20524
212.154.160.206	159.142.3.99	2	2	2	2009-05-07 13:57:29	2009-05-07 14:02:29	21772	27491	4249	53013
212.154.160.206	159.142.3.99	2	2	2	2009-05-07 14:02:29	2009-05-07 14:07:29	2476	29663	6104	4859
212.154.160.206	159.142.3.99	2	2	2	2009-05-07 14:07:29	2009-05-07 14:08:13	7805	35588	2020	37163
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:25:49	2009-05-07 14:29:36	20146	30312	9168	57835
188.239.13.83	159.142.3.99	2	2	6	2009-05-07 14:06:06	2009-05-07 14:11:06	6638	55188	572	47638
188.239.13.83	159.142.3.99	2	2	6	2009-05-07 14:11:06	2009-05-07 14:14:17	379	15531	8991	24559
46.209.68.65	212.154.160.206	21	2	2	2009-05-07 14:21:29	2009-05-07 14:22:20	14815	46637	13925	22527
188.239.13.83	159.142.3.99	21	2	17	2009-05-07 14:03:42	2009-05-07 14:05:38	9910	9213	4804	62483
188.239.13.83	46.209.68.65	21	2	132	2009-05-07 13:49:12	2009-05-07 13:49:15	6537	64453	10453	23766
188.239.13.83	212.154.160.206	2	21	132	2009-05-07 14:22:10	2009-05-07 14:23:39	3171	35199	3649	36384
188.239.13.83	212.154.160.206	2	2	6	2009-05-07 13:48:56	2009-05-07 13:53:56	10080	11736	322	63026
188.239.13.83	212.154.160.206	2	2	6	2009-05-07 13:53:56	2009-05-07 13:55:19	10126	30301	995	17688
188.239.13.83	188.239.13.83	2	21	6	2009-05-07 13:59:34	2009-05-07 14:02:24	9043	22130	19016	62043
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 13:48:38	2009-05-07 13:51:42	835	20069	10612	16390
188.239.13.83	46.209.68.65	2	21	17	2009-05-07 14:05:33	2009-05-07 14:09:06	6819	58937	2923	7523
188.239.13.83	212.154.160.206	21	2	17	2009-05-07 13:48:45	2009-05-07 13:53:45	17208	39211	4276	20191
188.239.13.83	212.154.160.206	21	2	17	2009-05-07 13:53:45	2009-05-07 13:58:45	1891	43848	11824	3768
188.239.13.83	212.154.160.206	21	2	17	2009-05-07 13:58:45	2009-05-07 14:03:09	5178	28581	2925	33273
188.239.13.83	188.239.13.83	21	21	89	2009-05-07 14:00:02	2009-05-07 14:01:19	2985	7447	1272	51692
46.209.68.65	159.142.3.99	21	21	6	2009-05-07 14:07:27	2009-05-07 14:10:02	11641	21454	6430	10994
212.154.160.206	159.142.3.99	2	21	132	2009-05-07 13:54:39	2009-05-07 13:55:50	3177	16630	7224	5139
159.142.3.99	188.239.13.83	21	2	132	2009-05-07 14:11:26	2009-05-07 14:16:07	5062	49295	10041	45687
188.239.13.83	159.142.3.99	21	2	89	2009-05-07 14:33:38	2009-05-07 14:38:38	13958	42026	15815	52101
188.239.13.83	159.142.3.99	21	2	89	2009-05-07 14:38:38	2009-05-07 14:43:38	16788	17189	8144	2348
188.239.13.83	159.142.3.99	21	2	89	2009-05-07 14:43:38	2009-05-07 14:47:39	18326	23944	9051	15863
159.142.3.99	188.239.13.83	21	21	132	2009-05-07 14:03:41	2009-05-07 14:08:41	1658	12334	4281	18376
159.142.3.99	188.239.13.83	21	21	132	2009-05-07 14:08:41	2009-05-07 14:13:41	496	48210	2165	51400
159.142.3.99	188.239.13.83	21	21	132	2009-05-07 14:13:41	2009-05-07 14:17:39	6235	29371	8512	60582
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 14:03:53	2009-05-07 14:08:53	23066	44585	165	56038
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 14:08:53	2009-05-07 14:13:53	1562	64581	3693	6490
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 14:13:53	2009-05-07 14:15:43	2157	50293	5716	51953
188.239.13.83	159.142.3.99	21	21	2	2009-05-07 14:08:11	2009-05-07 14:09:35	4040	23896	5675	19885
212.154.160.206	188.239.13.83	21	2	17	2009-05-07 14:40:24	2009-05-07 14:41:42	6866	879	5152	57895
159.142.3.99	46.209.68.65	21	2	17	2009-05-07 13:56:30	2009-05-07 14:01:30	400	35709	10836	10582
159.142.3.99	46.209.68.65	21	2	17	2009-05-07 14:01:30	2009-05-07 14:06:30	6783	64277	9522	51252
159.142.3.99	46.209.68.65	21	2	17	2009-05-07 14:06:30	2009-05-07 14:09:36	5035	58708	3378	42052
159.142.3.99	188.239.13.83	2	2	1	2009-05-07 13:46:42	2009-05-07 13:49:18	24458	21595	1443	11306
188.239.13.83	188.239.13.83	21	2	6	2009-05-07 14:12:37	2009-05-07 14:15:41	13388	54094	6520	25056
159.142.3.99	188.239.13.83	2	21	17	2009-05-07 14:15:16	2009-05-07 14:20:16	16478	21509	8657	22241
159.142.3.99	188.239.13.83	2	21	17	2009-05-07 14:20:16	2009-05-07 14:25:07	7441	60903	506	2651
159.142.3.99	159.142.3.99	2	21	17	2009-05-07 13:48:09	2009-05-07 13:53:09	2787	19665	1819	39258
159.142.3.99	159.142.3.99	2	21	17	2009-05-07 13:53:09	2009-05-07 13:58:09	17852	38745	24715	2493
159.142.3.99	159.142.3.99	2	21	17	2009-05-07 13:58:09	2009-05-07 14:02:14	13274	2490	6779	12788
188.239.13.83	212.154.160.206	2	2	89	2009-05-07 14:27:40	2009-05-07 14:32:33	304	53143	4488	17254
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:22:43	2009-05-07 14:27:43	5125	49233	10255	61257
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:27:43	2009-05-07 14:32:43	15653	47237	11953	60569
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:32:43	2009-05-07 14:37:43	4152	10001	16249	24921
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:37:43	2009-05-07 14:40:13	3758	22120	7	45492
188.239.13.83	188.239.13.83	21	21	132	2009-05-07 13:48:50	2009-05-07 13:50:06	18516	54589	14383	54591
159.142.3.99	188.239.13.83	2	2	6	2009-05-07 14:07:43	2009-05-07 14:07:53	2764	26901	6588	41965
46.209.68.65	188.239.13.83	21	21	6	2009-05-07 14:17:43	2009-05-07 14:22:43	2624	5418	17509	25412
46.209.68.65	188.239.13.83	21	21	6	2009-05-07 14:22:43	2009-05-07 14:27:43	8437	58086	2026	57864
46.209.68.65	188.239.13.83	21	21	6	2009-05-07 14:27:43	2009-05-07 14:30:16	1123	4663	8837	19330
159.142.3.99	188.239.13.83	21	2	89	2009-05-07 13:53:41	2009-05-07 13:58:17	24483	38245	3835	23132
159.142.3.99	212.154.160.206	2	21	17	2009-05-07 13:57:00	2009-05-07 14:02:00	12335	51699	1462	30662
159.142.3.99	212.154.160.206	2	21	17	2009-05-07 14:02:00	2009-05-07 14:04:28	5261	55182	3222	21075
188.239.13.83	212.154.160.206	21	21	89	2009-05-07 14:20:16	2009-05-07 14:25:04	958	10310	9063	40021
159.142.3.99	188.239.13.83	21	21	1	2009-05-07 13:54:54	2009-05-07 13:56:57	154	62805	5039	39456
212.154.160.206	159.142.3.99	2	21	17	2009-05-07 13:46:15	2009-05-07 13:50:40	7678	61677	1986	952
188.239.13.83	159.142.3.99	2	2	2	2009-05-07 14:38:00	2009-05-07 14:40:24	11422	25693	3644	59562
159.142.3.99	188.239.13.83	21	2	2	2009-05-07 14:05:24	2009-05-07 14:09:24	5537	15018	5313	32232
212.154.160.206	188.239.13.83	2	21	17	2009-05-07 14:14:14	2009-05-07 14:14:52	3351	51565	9660	11240
188.239.13.83	159.142.3.99	21	21	17	2009-05-07 13:52:53	2009-05-07 13:57:53	10886	30189	14112	35540
188.239.13.83	159.142.3.99	21	21	17	2009-05-07 13:57:53	2009-05-07 13:58:54	10786	12470	6704	57512
188.239.13.83	212.154.160.206	21	2	2	2009-05-07 14:23:01	2009-05-07 14:27:34	2901	15741	6885	6046
188.239.13.83	159.142.3.99	2	2	6	2009-05-07 13:58:54	2009-05-07 14:03:12	6879	25454	8163	44337
159.142.3.99	212.154.160.206	21	2	1	2009-05-07 14:17:21	2009-05-07 14:22:21	5275	36566	11815	28501
159.142.3.99	212.154.160.206	21	2	1	2009-05-07 14:22:21	2009-05-07 14:27:21	1235	55374	736	45107
159.142.3.99	212.154.160.206	21	2	1	2009-05-07 14:27:21	2009-05-07 14:30:51	4063	31054	9909	56580
46.209.68.65	188.239.13.83	21	2	132	2009-05-07 13:58:36	2009-05-07 13:59:55	558	43779	5767	41850
159.142.3.99	188.239.13.83	2	2	6	2009-05-07 14:01:26	2009-05-07 14:06:26	6668	6946	8235	63637
159.142.3.99	188.239.13.83	2	2	6	2009-05-07 14:06:26	2009-05-07 14:07:25	5630	36553	9451	61194
159.142.3.99	159.142.3.99	2	2	6	2009-05-07 14:10:03	2009-05-07 14:15:03	5081	33393	7007	57846
159.142.3.99	159.142.3.99	2	2	6	2009-05-07 14:15:03	2009-05-07 14:20:03	49	62382	5774	57758
159.142.3.99	159.142.3.99	2	2	6	2009-05-07 14:20:03	2009-05-07 14:23:10	9654	45986	1729	12316
46.209.68.65	159.142.3.99	2	2	89	2009-05-07 13:45:00	2009-05-07 13:49:53	434	12136	13320	64137
159.142.3.99	159.142.3.99	2	21	2	2009-05-07 13:44:02	2009-05-07 13:46:28	5385	55274	9921	30752
159.142.3.99	188.239.13.83	21	2	2	2009-05-07 14:15:41	2009-05-07 14:15:50	10970	28891	16717	28469
159.142.3.99	159.142.3.99	2	21	2	2009-05-07 14:36:23	2009-05-07 14:37:08	7759	28509	6921	61157
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 14:32:49	2009-05-07 14:37:49	1022	63390	12445	32259
188.239.13.83	188.239.13.83	2	21	89	2009-05-07 14:37:49	2009-05-07 14:42:29	5309	51176	11592	19048
212.154.160.206	159.142.3.99	21	21	1	2009-05-07 14:32:49	2009-05-07 14:37:49	14435	35781	2547	22999
212.154.160.206	159.142.3.99	21	21	1	2009-05-07 14:37:49	2009-05-07 14:39:29	8926	4939	1132	6547
188.239.13.83	212.154.160.206	2	21	132	2009-05-07 14:20:47	2009-05-07 14:21:45	14348	39896	9453	13446
212.154.160.206	212.154.160.206	2	21	89	2009-05-07 14:33:26	2009-05-07 14:36:27	365	52364	8835	63513
46.209.68.65	212.154.160.206	21	21	2	2009-05-07 14:23:48	2009-05-07 14:28:48	5360	41294	4380	57446
46.209.68.65	212.154.160.206	21	21	2	2009-05-07 14:28:48	2009-05-07 14:32:21	10123	19464	19301	18096
188.239.13.83	159.142.3.99	21	2	2	2009-05-07 14:42:15	2009-05-07 14:43:26	8351	3133	9092	21074
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:25:09	2009-05-07 14:30:09	7643	6159	1906	4619
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:30:09	2009-05-07 14:35:09	23475	39945	9567	53979
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:35:09	2009-05-07 14:40:09	6345	12053	4784	35624
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:40:09	2009-05-07 14:45:09	14369	31069	10176	11131
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:45:09	2009-05-07 14:50:09	9643	14841	22881	36299
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:50:09	2009-05-07 14:55:09	2274	16346	7264	33361
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 14:55:09	2009-05-07 15:00:09	2507	19374	3062	18826
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 15:00:09	2009-05-07 15:05:09	837	4778	1480	21144
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 15:05:09	2009-05-07 15:10:09	15257	12227	8069	20357
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 15:10:09	2009-05-07 15:15:09	12302	36078	14302	4936
212.154.160.206	188.239.13.83	2	21	1	2009-05-07 15:15:09	2009-05-07 15:16:13	16964	63169	22093	32231
188.239.13.83	212.154.160.206	2	21	6	2009-05-07 14:31:42	2009-05-07 14:34:06	3950	23331	508	45250
212.154.160.206	188.239.13.83	2	21	17	2009-05-07 14:35:00	2009-05-07 14:40:00	5402	65210	6474	21409
212.154.160.206	188.239.13.83	2	21	17	2009-05-07 14:40:00	2009-05-07 14:45:00	10230	51435	11822	22677
212.154.160.206	188.239.13.83	2	21	17	2009-05-07 14:45:00	2009-05-07 14:47:27	194	52108	318	57894
46.209.68.65	212.154.160.206	21	21	89	2009-05-07 13:57:12	2009-05-07 14:02:12	6202	40027	7789	55169
46.209.68.65	212.154.160.206	21	21	89	2009-05-07 14:02:12	2009-05-07 14:03:05	11281	55827	14616	18867
212.154.160.206	188.239.13.83	21	2	89	2009-05-07 13:48:34	2009-05-07 13:53:34	312	33127	8910	28482
212.154.160.206	188.239.13.83	21	2	89	2009-05-07 13:53:34	2009-05-07 13:56:43	6854	62039	15760	7474
188.239.13.83	188.239.13.83	21	21	17	2009-05-07 13:57:21	2009-05-07 13:59:15	7912	29626	17696	943
159.142.3.99	188.239.13.83	21	21	2	2009-05-07 14:00:44	2009-05-07 14:02:33	1538	32272	9754	44246
188.239.13.83	188.239.13.83	21	21	2	2009-05-07 13:45:36	2009-05-07 13:48:51	7438	53444	14924	64527
159.142.3.99	159.142.3.99	21	21	17	2009-05-07 14:38:22	2009-05-07 14:41:15	4925	11996	7148	13759
188.239.13.83	159.142.3.99	21	21	6	2009-05-07 14:13:13	2009-05-07 14:14:42	9239	22349	14103	47479
188.239.13.83	188.239.13.83	2	21	2	2009-05-07 13:45:00	2009-05-07 13:46:25	8470	35486	1194	61937
188.239.13.83	159.142.3.99	2	21	1	2009-05-07 14:12:00	2009-05-07 14:12:13	19329	20597	4354	7700
188.239.13.83	188.239.13.83	21	2	89	2009-05-07 14:34:54	2009-05-07 14:35:05	15472	32991	13344	52294
188.239.13.83	46.209.68.65	2	2	6	2009-05-07 13:50:58	2009-05-07 13:55:58	23496	25581	5191	40167
188.239.13.83	46.209.68.65	2	2	6	2009-05-07 13:55:58	2009-05-07 14:00:58	236	3103	6378	62849
188.239.13.83	46.209.68.65	2	2	6	2009-05-07 14:00:58	2009-05-07 14:01:34	3701	48704	8715	22029
159.142.3.99	188.239.13.83	2	21	17	2009-05-07 14:35:01	2009-05-07 14:40:01	14236	18266	2047	38169
159.142.3.99	188.239.13.83	2	21	17	2009-05-07 14:40:01	2009-05-07 14:42:29	9181	32121	8000	23528
159.142.3.99	159.142.3.99	21	2	1	2009-05-07 13:58:37	2009-05-07 13:59:29	7904	9559	16552	3862
159.142.3.99	212.154.160.206	21	2	17	2009-05-07 13:46:31	2009-05-07 13:51:31	12764	26490	9492	47775
117.46.94.11	117.46.94.11	21	21	89	2009-05-05 14:24:45	2009-05-05 14:28:56	6166	3158	413	15983
253.60.97.145	156.39.22.71	21	21	6	2009-05-05 14:21:17	2009-05-05 14:26:17	5671	22835	16191	42920
253.60.97.145	156.39.22.71	21	21	6	2009-05-05 14:26:17	2009-05-05 14:30:02	1481	33571	6720	8496
117.46.94.11	117.46.94.11	2	21	6	2009-05-05 14:27:03	2009-05-05 14:29:02	10117	29199	20613	25945
84.205.206.173	156.39.22.71	2	2	2	2009-05-05 14:38:48	2009-05-05 14:42:33	33742	30221	9803	43940
156.39.22.71	84.205.206.173	21	2	17	2009-05-05 13:47:01	2009-05-05 13:52:01	6956	46986	7877	14916
156.39.22.71	84.205.206.173	21	2	17	2009-05-05 13:52:01	2009-05-05 13:53:42	1148	47778	15481	23396
156.39.22.71	84.205.206.173	2	21	89	2009-05-05 14:07:55	2009-05-05 14:12:40	7762	5007	170	54796
84.205.206.173	84.205.206.173	2	21	132	2009-05-05 14:32:07	2009-05-05 14:33:09	323	43162	2276	29245
117.46.94.11	117.46.94.11	21	2	1	2009-05-05 14:41:10	2009-05-05 14:42:53	16435	7745	235	62189
117.46.94.11	156.39.22.71	2	21	132	2009-05-05 14:14:39	2009-05-05 14:17:58	8668	17840	2942	8247
156.39.22.71	253.60.97.145	21	21	17	2009-05-05 14:37:56	2009-05-05 14:42:56	6601	16679	188	31402
156.39.22.71	253.60.97.145	21	21	17	2009-05-05 14:42:56	2009-05-05 14:47:56	1671	20613	8002	22078
156.39.22.71	253.60.97.145	21	21	17	2009-05-05 14:47:56	2009-05-05 14:52:56	13430	13831	1219	61753
156.39.22.71	253.60.97.145	21	21	17	2009-05-05 14:52:56	2009-05-05 14:57:56	12502	3698	11591	52007
156.39.22.71	253.60.97.145	21	21	17	2009-05-05 14:57:56	2009-05-05 14:59:23	5108	55001	17509	49766
156.39.22.71	84.205.206.173	21	21	17	2009-05-05 14:12:37	2009-05-05 14:17:37	7057	26656	10228	48856
156.39.22.71	84.205.206.173	21	21	17	2009-05-05 14:17:37	2009-05-05 14:22:37	5782	5800	12959	43568
156.39.22.71	84.205.206.173	21	21	17	2009-05-05 14:22:37	2009-05-05 14:22:47	3303	7817	8885	10336
117.46.94.11	117.46.94.11	21	21	17	2009-05-05 13:55:17	2009-05-05 14:00:17	16245	59737	1132	39855
117.46.94.11	117.46.94.11	21	21	17	2009-05-05 14:00:17	2009-05-05 14:04:32	5919	10192	5576	40453
84.205.206.173	84.205.206.173	21	21	6	2009-05-05 14:09:45	2009-05-05 14:14:09	5114	61229	6718	3827
84.205.206.173	156.39.22.71	21	2	6	2009-05-05 13:44:49	2009-05-05 13:49:49	11738	55981	5772	45798
84.205.206.173	156.39.22.71	21	2	6	2009-05-05 13:49:49	2009-05-05 13:54:49	7070	27778	143	40592
84.205.206.173	156.39.22.71	21	2	6	2009-05-05 13:54:49	2009-05-05 13:58:05	10778	54669	11690	62291
253.60.97.145	156.39.22.71	2	21	89	2009-05-05 14:19:49	2009-05-05 14:23:41	8330	34108	12679	30316
117.46.94.11	117.46.94.11	21	21	17	2009-05-05 14:01:52	2009-05-05 14:06:52	349	30567	17392	52552
117.46.94.11	117.46.94.11	21	21	17	2009-05-05 14:06:52	2009-05-05 14:11:52	4072	27386	8764	24738
117.46.94.11	117.46.94.11	21	21	17	2009-05-05 14:11:52	2009-05-05 14:16:47	16345	51277	1861	39518
117.46.94.11	156.39.22.71	21	2	89	2009-05-05 13:55:33	2009-05-05 13:57:39	19723	55697	1094	54483
84.205.206.173	117.46.94.11	2	2	6	2009-05-05 14:34:10	2009-05-05 14:39:10	16041	60035	185	41402
